verb,noun,role,score
hear,voice,A1,6.5
hit,baby,A0,6.2
hit,baby,A1,3.6
hit,ball,A1,6.1
hit,ball,A2,5.7
hit,brother,A0,4.7
hit,brother,A1,4.1
hit,creature,A0,5.0
hit,creature,A1,5.0
hit,earthquake,A1,1.3
hit,earthquake,A2,2.7
hit,man,A0,5.6
hit,man,A1,4.1
hit,market,A1,3.7
hit,market,A2,1.7
hit,mummy,A0,2.3
hit,mummy,A1,2.2
hit,opponent,A0,5.3
hit,opponent,A1,5.7
hit,player,A0,5.6
hit,player,A1,5.7
hit,quake,A1,1.2
hit,quake,A2,3.4
hit,stock,A1,2.0
hit,stock,A2,2.7
increase,amount,A0,2.4
increase,amount,A1,5.5
increase,authority,A0,6.0
increase,authority,A1,2.9
increase,bank,A0,6.0
increase,bank,A1,2.4
increase,company,A0,5.2
increase,company,A1,2.6
increase,industry,A0,5.7
increase,industry,A1,3.0
increase,model,A0,2.6
increase,model,A1,3.5
increase,move,A0,4.0
increase,move,A1,2.0
increase,number,A0,1.6
increase,number,A1,5.5
increase,rate,A0,4.7
increase,rate,A1,5.8
increase,revenue,A0,4.0
increase,revenue,A1,5.8
increase,sale,A0,5.6
increase,sale,A1,2.7
inform,administration,A0,6.0
inform,administration,A1,5.6
inform,center,A0,4.9
inform,center,A1,4.0
inform,committee,A0,5.9
inform,committee,A1,5.3
inform,employee,A0,5.2
inform,employee,A1,5.6
inform,foundation,A0,4.2
inform,foundation,A1,3.4
inform,network,A0,4.4
inform,network,A1,2.6
inform,police,A0,5.8
inform,police,A1,6.0
inform,public,A0,3.8
inform,public,A1,5.9
inform,reader,A0,4.1
inform,reader,A1,5.9
inform,secretary,A0,6.2
inform,secretary,A1,5.8
inform,system,A0,4.6
inform,system,A1,1.9
kill,antibody,A0,5.9
kill,antibody,A1,4.1
kill,cell,A0,2.8
kill,cell,A1,5.7
kill,girl,A0,2.2
kill,girl,A1,4.1
kill,group,A0,3.4
kill,group,A1,3.0
kill,house,A0,1.7
kill,house,A1,1.0
kill,item,A0,2.7
kill,item,A1,1.3
kill,lion,A0,2.7
kill,lion,A1,4.9
kill,man,A0,3.4
kill,man,A1,5.4
kill,mother,A0,2.1
kill,mother,A1,3.8
kill,people,A0,3.0
kill,people,A1,6.2
kill,rebel,A0,4.5
kill,rebel,A1,5.0
kill,shark,A0,2.1
kill,shark,A1,3.9
promise,administration,A0,6.1
promise,administration,A1,4.9
promise,company,A0,5.8
promise,company,A1,5.2
promise,customer,A0,3.6
promise,customer,A1,6.4
promise,foundation,A0,4.9
promise,foundation,A1,5.1
promise,fund,A0,3.8
promise,fund,A1,1.9
promise,government,A0,6.4
promise,government,A1,5.0
promise,parent,A0,6.5
promise,parent,A1,5.8
promise,plan,A0,5.1
promise,plan,A1,1.2
promise,state,A0,5.6
promise,state,A1,3.9
promise,station,A0,1.9
promise,station,A1,2.2
promise,sun-god,A0,1.2
promise,sun-god,A1,2.7
raise,bank,A0,6.0
raise,bank,A1,1.8
raise,congress,A0,5.3
raise,congress,A1,1.2
raise,country,A0,5.2
raise,country,A1,1.3
raise,dividend,A0,1.6
raise,dividend,A1,4.7
raise,firm,A0,5.3
raise,firm,A1,2.0
raise,government,A0,6.0
raise,government,A1,1.2
raise,price,A0,1.7
raise,price,A1,6.0
raise,question,A0,4.2
raise,question,A1,6.4
raise,rate,A0,1.8
raise,rate,A1,5.7
raise,stake,A0,2.1
raise,stake,A1,5.2
resent,contribution,A0,1.2
resent,contribution,A1,3.5
resent,cost,A0,1.1
resent,cost,A1,5.6
resent,firm,A0,2.7
resent,firm,A1,5.2
resent,group,A0,5.2
resent,group,A1,5.2
resent,individual,A0,6.0
resent,individual,A1,5.6
resent,intrusion,A0,1.2
resent,intrusion,A1,6.1
resent,presence,A0,1.4
resent,presence,A1,5.0
resent,product,A0,1.2
resent,product,A1,4.2
resent,transfer,A0,1.3
resent,transfer,A1,3.9
resent,viewer,A0,4.0
resent,viewer,A1,2.7
resent,wife,A0,5.8
resent,wife,A1,5.0
resent,woman,A0,5.6
resent,woman,A1,4.9
see,analyst,A0,6.5
see,analyst,A1,5.4
see,drop,A0,1.0
see,drop,A1,3.8
see,effect,A0,1.3
see,effect,A1,6.0
see,executive,A0,6.8
see,executive,A1,6.0
see,face,A0,2.4
see,face,A1,6.8
see,friend,A0,6.7
see,friend,A1,6.6
see,investor,A0,5.9
see,investor,A1,4.2
see,movement,A0,1.2
see,movement,A1,6.0
see,name,A0,1.0
see,name,A1,6.0
see,pupil,A0,6.6
see,pupil,A1,6.3
see,return,A0,1.2
see,return,A1,5.0
see,viewer,A0,6.8
see,viewer,A1,3.8
tell,analyst,A0,6.5
tell,analyst,A2,6.0
tell,chairman,A0,6.6
tell,chairman,A2,6.2
tell,court,A0,6.8
tell,court,A2,6.6
tell,department,A0,5.3
tell,department,A2,5.0
tell,executive,A0,6.6
tell,executive,A2,5.7
tell,investor,A0,6.0
tell,investor,A2,6.0
tell,officer,A0,6.3
tell,officer,A2,6.0
tell,patient,A0,5.9
tell,patient,A2,6.4
tell,reporter,A0,6.7
tell,reporter,A2,6.7
tell,senator,A0,6.1
tell,senator,A2,6.3
tell,therapist,A0,6.9
tell,therapist,A2,6.7
