verb,noun,role,score
bury,victim,A0,1.8
bury,victim,A1,5.3
calm,family,A0,5.9
calm,family,A1,4.1
calm,hostage,A0,2.6
calm,hostage,A1,4.4
calm,child,A0,2.2
calm,child,A1,6.4
calm,teacher,A0,5.4
calm,teacher,A1,2.5
capture,archeologist,A0,5.1
capture,archeologist,A1,1.4
capture,army,A0,6.5
capture,army,A1,3.1
capture,criminal,A0,3.6
capture,criminal,A1,6.1
capture,fugitive,A0,2.6
capture,fugitive,A1,5.1
capture,hunter,A0,6.0
capture,hunter,A1,2.0
capture,monkey,A0,3.2
capture,monkey,A1,3.9
capture,policeman,A0,6.4
capture,policeman,A1,2.1
capture,prisoner,A0,1.8
capture,prisoner,A1,5.0
capture,rabbit,A0,2.3
capture,rabbit,A1,5.5
capture,soldier,A0,6.2
capture,soldier,A1,4.7
capture,tourist,A0,4.1
capture,tourist,A1,2.5
capture,troop,A0,6.0
capture,troop,A1,3.9
capture,valley,A0,1.4
capture,valley,A1,1.8
caress,dancer,A0,3.6
caress,dancer,A1,4.0
caress,electrician,A0,1.5
caress,electrician,A1,1.3
caress,grandmother,A0,6.2
caress,grandmother,A1,4.6
caress,hostess,A0,3.0
caress,hostess,A1,2.7
carry,furniture,A0,1.6
carry,furniture,A1,5.3
carry,invalid,A0,1.3
carry,invalid,A1,4.3
carry,newborn,A0,1.2
carry,newborn,A1,6.2
carry,orderly,A0,5.3
carry,orderly,A1,1.6
carry,postman,A0,6.8
carry,postman,A1,1.6
challenge,aristocrat,A0,3.9
challenge,aristocrat,A1,3.6
challenge,coward,A0,1.2
challenge,coward,A1,3.8
challenge,knight,A0,6.7
challenge,knight,A1,5.5
challenge,moron,A0,2.2
challenge,moron,A1,3.1
chase,bull,A0,6.3
chase,bull,A1,2.5
chase,car,A0,3.6
chase,car,A1,4.5
chase,lion,A0,6.6
chase,lion,A1,2.6
chase,mouse,A0,3.1
chase,mouse,A1,5.5
chase,rabbit,A0,3.3
chase,rabbit,A1,5.1
cheer,athlete,A0,6.2
cheer,athlete,A1,6.6
cheer,crowd,A0,6.4
cheer,crowd,A1,2.9
cheer,farmer,A0,1.9
cheer,farmer,A1,1.7
cheer,performance,A0,1.5
cheer,performance,A1,5.4
cheer,quarterback,A0,3.8
cheer,quarterback,A1,5.2
cheer,spectators,A0,6.7
cheer,spectators,A1,1.3
cheer,touchdown,A0,1.4
cheer,touchdown,A1,6.0
choose,candidate,A0,4.0
choose,candidate,A1,5.6
choose,committee,A0,6.4
choose,committee,A1,4.3
choose,computer,A0,3.3
choose,computer,A1,4.3
choose,contestant,A0,6.0
choose,contestant,A1,5.3
choose,customer,A0,6.6
choose,customer,A1,1.8
choose,shopper,A0,6.4
choose,shopper,A1,1.9
conquer,king,A0,6.1
conquer,king,A1,3.8
conquer,kingdom,A0,3.1
conquer,kingdom,A1,5.7
conquer,peasants,A0,2.9
conquer,peasants,A1,4.5
consider,alternatives,A0,1.3
consider,alternatives,A1,6.6
consider,carpenter,A0,5.1
consider,carpenter,A1,5.1
consider,coroner,A0,5.8
consider,coroner,A1,3.4
consider,golfer,A0,5.2
consider,golfer,A1,2.6
consider,scientists,A0,6.6
consider,scientists,A1,4.0
consider,secretary,A0,5.2
consider,secretary,A1,4.6
console,bride,A0,3.4
console,bride,A1,4.2
console,coward,A0,2.1
console,coward,A1,3.9
console,secretary,A0,3.1
console,secretary,A1,2.2
console,widow,A0,3.6
console,widow,A1,6.6
convict,criminal,A0,1.4
convict,criminal,A1,5.9
convict,defendant,A0,2.4
convict,defendant,A1,4.5
convict,judge,A0,6.4
convict,judge,A1,1.5
convict,juror,A0,6.6
convict,juror,A1,1.3
convict,suspect,A0,1.8
convict,suspect,A1,5.5
convince,aunt,A0,3.3
convince,aunt,A1,3.9
convince,hypnotist,A0,6.2
convince,hypnotist,A1,1.9
convince,inmate,A0,3.5
convince,inmate,A1,4.3
convince,spy,A0,5.0
convince,spy,A1,3.3
corner,fugitive,A0,3.7
corner,fugitive,A1,4.9
corner,horse,A0,3.3
corner,horse,A1,3.9
corner,mouse,A0,1.9
corner,mouse,A1,5.9
corner,nurse,A0,3.0
corner,nurse,A1,2.3
crucify,president,A0,2.6
crucify,president,A1,3.1
crucify,savior,A0,2.3
crucify,savior,A1,4.9
crucify,teacher,A0,1.8
crucify,teacher,A1,2.2
crush,avalanche,A0,6.9
crush,avalanche,A1,1.6
crush,buddy,A0,3.0
crush,buddy,A1,2.7
crush,climber,A0,2.6
crush,climber,A1,5.0
crush,skunk,A0,1.4
crush,skunk,A1,4.0
cure,businesswoman,A0,1.9
cure,businesswoman,A1,3.0
cure,doctor,A0,6.8
cure,doctor,A1,3.8
cure,drug,A0,6.3
cure,drug,A1,1.8
cure,patient,A0,1.4
cure,patient,A1,6.1
cure,person,A0,3.2
cure,person,A1,5.6
cure,physician,A0,6.7
cure,physician,A1,3.1
cure,saint,A0,3.7
cure,saint,A1,2.3
cure,soldier,A0,3.0
cure,soldier,A1,4.3
cure,treatment,A0,5.8
cure,treatment,A1,1.3
cure,veterinarian,A0,6.4
cure,veterinarian,A1,3.3
describe,boy,A0,6.2
describe,boy,A1,5.8
describe,cashier,A0,4.7
describe,cashier,A1,3.2
describe,explorer,A0,6.9
describe,explorer,A1,3.9
describe,necklace,A0,1.2
describe,necklace,A1,5.9
describe,person,A0,6.5
describe,person,A1,6.3
desert,infant,A0,1.3
desert,infant,A1,2.7
desert,turtle,A0,1.6
desert,turtle,A1,2.7
desert,wife,A0,3.1
desert,wife,A1,4.4
devour,carrot,A0,1.0
devour,carrot,A1,5.7
devour,cookie,A0,1.0
devour,cookie,A1,6.7
devour,fish,A0,3.9
devour,fish,A1,6.1
devour,glutton,A0,5.3
devour,glutton,A1,1.6
devour,goose,A0,3.7
devour,goose,A1,5.2
devour,mouse,A0,4.2
devour,mouse,A1,4.6
devour,pig,A0,5.3
devour,pig,A1,5.6
devour,rabbit,A0,3.3
devour,rabbit,A1,5.7
devour,snake,A0,6.2
devour,snake,A1,3.9
dismiss,principal,A0,6.3
dismiss,principal,A1,2.0
dismiss,pupil,A0,1.5
dismiss,pupil,A1,5.5
dismiss,student,A0,1.5
dismiss,student,A1,5.9
dismiss,teacher,A0,6.8
dismiss,teacher,A1,2.5
disobey,brat,A0,6.7
disobey,brat,A1,3.1
disobey,children,A0,6.1
disobey,children,A1,3.3
disobey,commanders,A0,1.9
disobey,commanders,A1,3.6
disobey,orders,A0,1.2
disobey,orders,A1,5.4
disobey,troops,A0,2.6
disobey,troops,A1,2.8
disown,babysitter,A0,1.8
disown,babysitter,A1,2.3
disown,daughter,A0,2.4
disown,daughter,A1,3.0
disown,slave,A0,2.0
disown,slave,A1,3.7
do,laborer,A0,6.5
do,laborer,A1,1.7
do,sloth,A0,2.3
do,sloth,A1,2.0
do,vegetable,A0,1.9
do,vegetable,A1,1.5
do,work,A0,1.5
do,work,A1,6.4
draw,artist,A0,6.6
draw,artist,A1,2.1
draw,model,A0,2.0
draw,model,A1,6.4
draw,picture,A0,1.2
draw,picture,A1,6.7
draw,poster,A0,1.1
draw,poster,A1,5.9
eat,chicken,A0,5.9
eat,chicken,A1,6.7
eat,man,A0,6.9
eat,man,A1,1.7
eat,poultry,A0,1.2
eat,poultry,A1,6.6
eat,steak,A0,1.0
eat,steak,A1,6.9
enslave,army,A0,5.4
enslave,army,A1,2.9
enslave,peasants,A0,1.7
enslave,peasants,A1,5.6
enslave,pirates,A0,6.3
enslave,pirates,A1,2.7
enslave,victim,A0,1.5
enslave,victim,A1,4.3
entertain,audience,A0,1.7
entertain,audience,A1,6.7
entertain,businessman,A0,5.0
entertain,businessman,A1,4.5
entertain,comedian,A0,6.9
entertain,comedian,A1,2.7
entertain,idea,A0,5.1
entertain,idea,A1,4.2
entertain,patron,A0,1.7
entertain,patron,A1,4.7
entertain,stripper,A0,7.0
entertain,stripper,A1,2.2
evaluate,applicant,A0,3.3
evaluate,applicant,A1,5.7
evaluate,automobile,A0,1.2
evaluate,automobile,A1,4.5
evaluate,committee,A0,6.3
evaluate,committee,A1,3.9
evaluate,instructor,A0,6.1
evaluate,instructor,A1,4.0
evaluate,possibilities,A0,1.9
evaluate,possibilities,A1,6.3
evaluate,student,A0,5.4
evaluate,student,A1,5.5
evaluate,supervisor,A0,6.7
evaluate,supervisor,A1,4.3
examine,defendant,A0,2.7
examine,defendant,A1,5.8
examine,doctor,A0,6.6
examine,doctor,A1,1.9
examine,evidence,A0,1.4
examine,evidence,A1,6.3
examine,horse,A0,1.4
examine,horse,A1,4.9
examine,patient,A0,2.1
examine,patient,A1,6.3
examine,report,A0,3.2
examine,report,A1,6.3
examine,scientist,A0,6.7
examine,scientist,A1,2.3
excuse,auditor,A0,3.5
excuse,auditor,A1,2.6
excuse,drummer,A0,2.7
excuse,drummer,A1,2.1
excuse,optometrist,A0,3.9
excuse,optometrist,A1,2.3
excuse,prince,A0,4.0
excuse,prince,A1,4.4
execute,hangman,A0,5.1
execute,hangman,A1,3.9
execute,hostages,A0,1.7
execute,hostages,A1,4.9
execute,martyr,A0,2.7
execute,martyr,A0,2.1
execute,martyr,A1,4.0
execute,martyr,A1,4.5
execute,murderer,A0,6.6
execute,murderer,A1,4.9
execute,nun,A0,1.1
execute,nun,A1,1.3
execute,plumber,A0,1.6
execute,plumber,A1,1.4
execute,strategy,A0,1.9
execute,strategy,A1,4.8
execute,terrorists,A0,6.1
execute,terrorists,A1,4.0
exile,criminal,A0,2.2
exile,criminal,A1,5.5
exile,dictator,A0,6.0
exile,dictator,A1,4.1
expect,housewife,A0,4.8
expect,housewife,A1,2.6
expect,mailman,A0,2.5
expect,mailman,A1,4.8
expect,package,A0,1.3
expect,package,A1,5.5
expect,plumber,A0,3.1
expect,plumber,A1,4.8
expect,salesman,A0,3.7
expect,salesman,A1,2.5
fight,boxer,A0,6.8
fight,boxer,A1,6.1
fight,landlord,A0,4.4
fight,landlord,A1,4.1
fight,maniac,A0,6.1
fight,maniac,A1,3.2
fight,pacifist,A0,1.4
fight,pacifist,A1,2.0
fight,wrestler,A0,6.2
fight,wrestler,A1,5.8
find,archeologist,A0,6.4
find,archeologist,A1,1.8
find,child,A0,5.4
find,child,A1,4.1
find,goat,A0,2.9
find,goat,A1,2.8
find,kitten,A0,4.3
find,kitten,A1,4.7
find,singer,A0,2.9
find,singer,A1,3.5
fire,employee,A0,1.9
fire,employee,A1,6.4
fire,employer,A0,6.1
fire,employer,A1,2.4
fire,laborer,A0,1.6
fire,laborer,A1,6.1
fire,owner,A0,6.3
fire,owner,A1,1.9
fire,supervisor,A0,5.9
fire,supervisor,A1,3.4
flatter,aristocrat,A0,3.4
flatter,aristocrat,A1,4.1
flatter,girl,A0,5.7
flatter,girl,A1,6.2
flatter,glutton,A0,2.3
flatter,glutton,A1,1.8
flatter,psychoanalyst,A0,3.0
flatter,psychoanalyst,A1,2.2
flog,guard,A0,4.8
flog,guard,A1,1.9
flog,inmate,A0,4.1
flog,inmate,A1,4.1
flog,prisoner,A0,3.5
flog,prisoner,A1,4.5
flog,slave,A0,2.3
flog,slave,A1,5.3
frighten,baby,A0,2.0
frighten,baby,A1,5.5
frighten,cat,A0,3.1
frighten,cat,A1,5.5
frighten,hiker,A0,1.8
frighten,hiker,A1,3.8
frighten,maid,A0,1.2
frighten,maid,A1,3.2
frighten,monster,A0,6.4
frighten,monster,A1,1.8
frighten,nurse,A0,3.8
frighten,nurse,A1,3.0
frighten,snake,A0,6.2
frighten,snake,A1,3.9
govern,president,A0,6.7
govern,president,A1,2.7
govern,territory,A0,1.5
govern,territory,A1,6.7
govern,villagers,A0,3.2
govern,villagers,A1,6.5
grab,banana,A0,1.0
grab,banana,A1,6.2
grab,quarterback,A0,6.1
grab,quarterback,A1,5.3
grab,stewardess,A0,4.6
grab,stewardess,A1,3.0
grade,examination,A0,4.0
grade,examination,A1,6.5
grade,foreman,A0,4.5
grade,foreman,A1,3.2
grade,paper,A0,1.1
grade,paper,A1,6.5
grade,professor,A0,6.7
grade,professor,A1,2.4
grade,pupil,A0,2.3
grade,pupil,A1,6.8
grade,student,A0,2.4
grade,student,A1,6.8
grade,teacher,A0,6.9
grade,teacher,A1,2.6
grade,undergraduate,A0,2.4
grade,undergraduate,A1,7.0
grasp,child,A0,5.4
grasp,child,A1,5.7
grasp,hammer,A0,1.0
grasp,hammer,A1,6.3
grasp,reporter,A0,4.8
grasp,reporter,A1,3.1
grow,crops,A0,3.8
grow,crops,A1,6.0
grow,flowers,A0,2.8
grow,flowers,A1,5.9
grow,pigs,A0,1.8
grow,pigs,A1,3.1
grow,rabbits,A0,2.0
grow,rabbits,A1,3.1
haunt,ghost,A0,6.3
haunt,ghost,A1,2.5
haunt,memory,A0,5.8
haunt,memory,A1,4.9
haunt,salesman,A0,2.2
haunt,salesman,A1,1.8
haunt,woman,A0,2.3
haunt,woman,A1,3.2
help,assistant,A0,6.3
help,assistant,A1,3.8
help,cause,A0,2.5
help,cause,A1,5.6
help,fireman,A0,6.7
help,fireman,A1,3.9
help,gardener,A0,4.5
help,gardener,A1,4.0
help,victim,A0,1.9
help,victim,A1,5.9
hire,applicant,A0,1.3
hire,applicant,A1,5.6
hire,boss,A0,6.7
hire,boss,A1,2.9
hire,chairman,A0,4.5
hire,chairman,A1,2.7
hire,employee,A0,1.9
hire,employee,A1,5.6
hire,friend,A0,4.1
hire,friend,A1,4.4
hire,manager,A0,6.7
hire,manager,A1,3.6
hire,supervisor,A0,6.3
hire,supervisor,A1,4.5
hit,director,A0,2.7
hit,director,A1,1.9
hit,guard,A0,5.1
hit,guard,A1,3.6
hit,undergraduate,A0,2.5
hit,undergraduate,A1,1.9
hunt,cowboys,A0,4.4
hunt,cowboys,A1,1.5
hunt,divers,A0,4.4
hunt,divers,A1,1.6
hunt,fugitives,A0,2.9
hunt,fugitives,A1,5.6
hunt,lion,A0,6.4
hunt,lion,A1,5.1
hunt,mouse,A0,2.6
hunt,mouse,A1,5.0
hunt,rabbit,A0,2.4
hunt,rabbit,A1,6.7
hypnotize,butterfly,A0,2.3
hypnotize,butterfly,A1,1.1
hypnotize,patient,A0,1.3
hypnotize,patient,A1,5.3
hypnotize,pendulum,A0,4.5
hypnotize,pendulum,A1,1.3
hypnotize,psychoanalyst,A0,5.8
hypnotize,psychoanalyst,A1,2.0
hypnotize,volunteer,A0,1.4
hypnotize,volunteer,A1,3.9
identify,jewelry,A0,1.7
identify,jewelry,A1,4.4
identify,jogger,A0,4.1
identify,jogger,A1,3.6
identify,nurse,A0,5.8
identify,nurse,A1,4.2
identify,pilot,A0,5.7
identify,pilot,A1,3.4
identify,thief,A0,4.2
identify,thief,A1,4.4
indicate,man,A0,3.9
indicate,man,A1,3.7
indicate,newscaster,A0,6.2
indicate,newscaster,A1,4.1
indicate,video,A0,4.8
indicate,video,A1,3.3
inject,janitor,A0,1.9
inject,janitor,A1,1.7
inject,patient,A0,2.8
inject,patient,A1,6.4
injure,butterfly,A0,1.1
injure,butterfly,A1,4.3
injure,peasant,A0,2.4
injure,peasant,A1,3.7
injure,supervisor,A0,1.9
injure,supervisor,A1,1.5
inspire,mentor,A0,6.4
inspire,mentor,A1,3.5
inspire,poet,A0,6.1
inspire,poet,A1,6.3
inspire,veterinarian,A0,3.5
inspire,veterinarian,A1,3.4
inspire,worker,A0,4.1
inspire,worker,A1,4.7
instruct,coach,A0,6.7
instruct,coach,A1,2.1
instruct,janitor,A0,1.7
instruct,janitor,A1,3.9
instruct,judge,A0,5.3
instruct,judge,A1,1.7
instruct,jury,A0,3.2
instruct,jury,A1,3.9
instruct,novice,A0,1.6
instruct,novice,A1,5.3
instruct,player,A0,3.7
instruct,player,A1,6.6
instruct,professor,A0,6.8
instruct,professor,A1,1.9
instruct,student,A0,2.6
instruct,student,A1,6.2
instruct,trainee,A0,1.7
instruct,trainee,A1,6.2
interrogate,culprit,A0,2.0
interrogate,culprit,A1,5.4
interrogate,inspector,A0,6.3
interrogate,inspector,A1,1.6
interrogate,police,A0,6.3
interrogate,police,A1,2.1
interrogate,prisoner,A0,1.7
interrogate,prisoner,A1,5.1
interrogate,suspect,A0,1.7
interrogate,suspect,A1,5.8
interrogate,warden,A0,5.4
interrogate,warden,A1,2.1
interview,applicant,A0,1.6
interview,applicant,A1,6.6
interview,athlete,A0,2.3
interview,athlete,A1,6.1
interview,candidate,A0,2.6
interview,candidate,A1,6.6
interview,dancer,A0,2.1
interview,dancer,A1,4.3
interview,housewife,A0,1.8
interview,housewife,A1,1.9
interview,newspaper,A0,4.1
interview,newspaper,A1,1.5
interview,performer,A0,2.0
interview,performer,A1,6.2
interview,reporter,A0,6.8
interview,reporter,A1,2.7
investigate,auditor,A0,6.2
investigate,auditor,A1,2.2
investigate,crime,A0,1.2
investigate,crime,A1,6.6
investigate,detective,A0,6.4
investigate,detective,A1,1.9
investigate,gangster,A0,3.5
investigate,gangster,A1,6.4
investigate,punk,A0,1.9
investigate,punk,A1,4.2
investigate,suspect,A0,2.4
investigate,suspect,A1,6.4
investigate,theft,A0,1.2
investigate,theft,A1,6.8
invite,buddy,A0,6.5
invite,buddy,A1,6.3
invite,friend,A0,6.6
invite,friend,A1,6.4
invite,guest,A0,1.9
invite,guest,A1,6.4
invite,host,A0,6.5
invite,host,A1,2.2
invite,organizer,A0,5.0
invite,organizer,A1,3.4
invite,relative,A0,5.8
invite,relative,A1,6.0
invite,visitor,A0,1.9
invite,visitor,A1,5.5
involve,dog,A0,2.0
involve,dog,A1,5.0
involve,instructor,A0,5.2
involve,instructor,A1,3.4
involve,lieutenant,A0,4.0
involve,lieutenant,A1,3.1
involve,lover,A0,6.2
involve,lover,A1,6.1
involve,woman,A0,4.2
involve,woman,A1,5.3
kick,donkey,A0,6.1
kick,donkey,A1,3.4
kick,girl,A0,4.6
kick,girl,A1,3.9
kick,janitor,A0,2.0
kick,janitor,A1,1.5
kick,punter,A0,5.4
kick,punter,A1,2.1
kick,wimp,A0,1.6
kick,wimp,A1,5.4
kill,assassin,A0,7.0
kill,assassin,A1,3.5
kill,farmer,A0,3.9
kill,farmer,A1,1.6
kill,secretary,A0,1.2
kill,secretary,A1,1.5
kill,victim,A0,1.7
kill,victim,A1,5.7
kiss,bride,A0,6.7
kiss,bride,A1,6.3
kiss,dog,A0,2.6
kiss,dog,A1,3.4
kiss,frog,A0,1.2
kiss,frog,A1,1.7
kiss,lover,A0,6.9
kiss,lover,A1,6.6
kiss,niece,A0,4.9
kiss,niece,A1,4.9
kiss,princess,A0,5.9
kiss,princess,A1,5.9
lecture,child,A0,1.7
lecture,child,A1,5.9
lecture,coach,A0,6.1
lecture,coach,A1,1.7
lecture,cop,A0,5.5
lecture,cop,A1,3.0
lecture,freshman,A0,1.9
lecture,freshman,A1,5.4
lecture,parent,A0,6.9
lecture,parent,A1,3.2
lecture,policeman,A0,5.9
lecture,policeman,A1,2.3
lecture,student,A0,2.3
lecture,student,A1,6.9
lecture,teacher,A0,6.8
lecture,teacher,A1,2.1
lecture,teenager,A0,3.1
lecture,teenager,A1,6.0
lift,bellboy,A0,6.5
lift,bellboy,A1,2.6
lift,bricks,A0,1.3
lift,bricks,A1,5.4
lift,infant,A0,2.5
lift,infant,A1,5.9
lift,kitten,A0,1.9
lift,kitten,A1,5.4
lift,puppy,A0,2.0
lift,puppy,A1,5.6
lift,workers,A0,6.1
lift,workers,A1,2.1
love,girl,A0,6.2
love,girl,A1,6.6
love,grandmother,A0,6.6
love,grandmother,A1,6.6
love,husband,A0,6.6
love,husband,A1,6.8
love,teacher,A0,5.6
love,teacher,A1,5.2
love,textbook,A0,1.0
love,textbook,A1,1.9
marry,bride,A0,6.4
marry,bride,A1,7.0
marry,contestant,A0,2.1
marry,contestant,A1,2.6
marry,minister,A0,4.7
marry,minister,A1,3.2
marry,priest,A0,4.0
marry,priest,A1,1.3
marry,teenager,A0,3.4
marry,teenager,A1,3.0
overthrow,dictator,A0,4.3
overthrow,dictator,A1,5.3
overthrow,government,A0,3.1
overthrow,government,A1,4.8
overthrow,peasants,A0,4.2
overthrow,peasants,A1,2.1
overthrow,revolutionary,A0,5.8
overthrow,revolutionary,A1,2.7
paint,artist,A0,6.7
paint,artist,A1,6.4
paint,landscape,A0,1.3
paint,landscape,A1,1.5
paint,model,A0,1.8
paint,model,A1,2.0
paint,princess,A0,2.4
paint,princess,A1,2.4
parade,delinquent,A0,2.8
parade,delinquent,A1,3.5
parade,group,A0,5.5
parade,group,A1,3.7
parade,regiment,A0,3.7
parade,regiment,A1,4.2
parade,sparrow,A0,1.4
parade,sparrow,A1,2.1
pardon,judge,A0,5.8
pardon,judge,A1,2.1
pardon,juror,A0,4.3
pardon,juror,A1,2.9
pardon,traitor,A0,1.2
pardon,traitor,A1,2.5
pay,carpenter,A0,3.7
pay,carpenter,A1,5.3
pay,cashier,A0,3.1
pay,cashier,A1,5.4
pay,customer,A0,6.5
pay,customer,A1,1.6
pay,man,A0,5.5
pay,man,A1,3.6
pay,nurse,A0,2.7
pay,nurse,A1,3.6
pay,ransom,A0,2.4
pay,ransom,A1,4.5
pay,tax,A0,1.6
pay,tax,A1,5.4
picture,electrician,A0,2.7
picture,electrician,A1,1.6
picture,husband,A0,4.6
picture,husband,A1,5.1
picture,model,A0,4.8
picture,model,A1,6.9
picture,mother,A0,4.9
picture,mother,A1,5.1
praise,candidate,A0,3.0
praise,candidate,A1,4.5
praise,champion,A0,4.6
praise,champion,A1,7.0
praise,chemist,A0,2.7
praise,chemist,A1,4.1
praise,daredevil,A0,3.0
praise,daredevil,A1,4.6
present,announcer,A0,6.7
present,announcer,A1,2.6
present,delegate,A0,5.5
present,delegate,A1,4.1
present,lawyer,A0,6.5
present,lawyer,A1,3.1
present,nominee,A0,4.2
present,nominee,A1,5.5
propose,president,A0,6.1
propose,president,A1,3.1
propose,program,A0,3.1
propose,program,A1,6.2
propose,solution,A0,1.5
propose,solution,A1,6.6
propose,speaker,A0,5.9
propose,speaker,A1,2.3
punish,babysitter,A0,4.4
punish,babysitter,A1,2.1
punish,child,A0,1.5
punish,child,A1,5.8
punish,delinquent,A0,1.7
punish,delinquent,A1,5.7
punish,mother,A0,6.4
punish,mother,A1,2.3
punish,parent,A0,6.5
punish,parent,A1,1.5
punish,uncle,A0,3.2
punish,uncle,A1,1.9
question,criminal,A0,2.0
question,criminal,A1,6.6
question,defendant,A0,2.8
question,defendant,A1,6.6
question,lawyer,A0,6.5
question,lawyer,A1,2.9
question,waitress,A0,5.3
question,waitress,A1,5.1
question,witness,A0,2.0
question,witness,A1,6.7
read,author,A0,6.3
read,author,A1,3.4
read,book,A0,1.3
read,book,A1,6.6
read,historian,A0,6.8
read,historian,A1,2.8
read,philosopher,A0,6.5
read,philosopher,A1,3.0
recognize,celebrity,A0,3.8
recognize,celebrity,A1,6.8
recognize,fugitive,A0,3.0
recognize,fugitive,A1,5.3
recognize,man,A0,5.5
recognize,man,A1,4.8
recognize,van,A0,1.0
recognize,van,A1,4.1
recognize,witness,A0,6.1
recognize,witness,A1,3.9
record,man,A0,5.0
record,man,A1,2.8
record,message,A0,1.8
record,message,A1,5.6
record,performer,A0,5.7
record,performer,A1,5.1
record,scientist,A0,6.3
record,scientist,A1,2.9
record,singer,A0,6.7
record,singer,A1,5.5
release,cat,A0,2.3
release,cat,A1,3.9
release,conservationist,A0,2.3
release,conservationist,A1,1.9
