verb,noun,role,score
reject,suitor,A1,4.2
reprint,appliance,A1,1.6
reprint,book,A1,5.4
reprint,machine,A1,1.7
reprint,treatise,A1,3.9
sample,company,A1,2.8
sample,corporation,A1,2.1
sample,dish,A1,3.6
sample,food,A1,4.9
scan,ballroom,A1,2.4
scan,captain,A1,2.0
scan,picture,A1,4.9
scan,print,A1,4.4
scan,room,A1,4.0
scan,soldier,A1,2.3
scratch,back,A1,5.0
scratch,chest,A1,3.5
scratch,criminal,A1,2.5
scratch,outlaw,A1,2.6
scratch,plan,A1,3.9
scratch,proposal,A1,1.6
screen,applicant,A1,6.1
screen,call,A1,4.7
screen,money,A1,2.0
screen,proceeds,A1,2.7
screen,sample,A1,2.6
screen,urine,A1,4.7
seal,appliance,A1,4.0
seal,invitation,A1,5.2
seal,letter,A1,5.1
seal,machine,A1,3.0
seal,skylight,A1,5.5
seal,window,A1,5.5
select,alternative,A1,5.1
select,cord,A1,2.9
select,option,A1,5.7
select,wire,A1,3.5
sentence,criminal,A1,5.6
sentence,outlaw,A1,5.3
sentence,process,A1,1.7
sentence,routine,A1,1.1
sip,area,A1,1.0
sip,merlot,A1,6.0
sip,vicinity,A1,1.2
sip,wine,A1,6.0
ski,criminal,A1,2.2
ski,mountain,A1,5.6
ski,outlaw,A1,1.0
ski,slope,A1,5.7
skip,class,A1,3.9
skip,lecture,A1,3.1
skip,letter,A1,2.8
skip,memo,A1,3.2
skip,pebble,A1,4.2
skip,stone,A1,4.5
slice,ball,A1,1.9
slice,disease,A1,1.4
slice,golfball,A1,3.3
slice,infection,A1,1.7
slice,meat,A1,5.6
slice,salami,A1,6.0
soften,criminal,A1,1.9
soften,image,A1,4.3
soften,outlaw,A1,1.9
soften,pain,A1,3.3
soften,snapshot,A1,2.2
soften,sting,A1,2.1
spill,cord,A1,1.2
spill,drink,A1,5.0
spill,information,A1,4.1
spill,martini,A1,4.1
spill,secret,A1,3.1
spill,wire,A1,1.8
start,beef,A1,2.2
start,engine,A1,6.2
start,meat,A1,1.6
start,motor,A1,6.0
start,therapy,A1,5.3
start,treatment,A1,6.1
station,captain,A1,4.9
station,guardian,A1,3.6
station,parent,A1,3.3
station,soldier,A1,6.1
stimulate,baby,A1,4.2
stimulate,fetus,A1,3.5
stimulate,gland,A1,3.7
stimulate,imagination,A1,5.7
stimulate,mind,A1,5.9
stimulate,muscle,A1,5.6
strain,alternative,A1,1.6
strain,option,A1,2.3
strain,pasta,A1,5.5
strain,patience,A1,4.7
strain,relationship,A1,4.4
strain,sauce,A1,4.0
strip,bed,A1,4.0
strip,command,A1,1.9
strip,football,A1,1.7
strip,fourposter,A1,2.9
strip,law,A1,2.0
strip,pigskin,A1,3.1
structure,curriculum,A1,6.3
structure,god,A1,4.7
structure,lord,A1,3.9
structure,program,A1,5.2
stuff,criminal,A1,1.9
stuff,nose,A1,4.6
stuff,outlaw,A1,1.7
stuff,poultry,A1,3.9
stuff,sinus,A1,4.4
stuff,turkey,A1,5.8
sue,car,A1,1.2
sue,company,A1,4.4
sue,corporation,A1,4.6
sue,sedan,A1,1.2
swallow,anger,A1,3.8
swallow,irritation,A1,2.2
swallow,odor,A1,1.1
swallow,pill,A1,6.3
swallow,smell,A1,1.6
swallow,tablet,A1,5.5
target,money,A1,3.2
target,populace,A1,3.8
target,population,A1,4.2
target,proceeds,A1,1.9
terrify,captain,A1,2.5
terrify,chicken,A1,4.9
terrify,coward,A1,5.5
terrify,soldier,A1,4.1
thank,country,A1,2.7
thank,god,A1,5.5
thank,lord,A1,6.1
thank,province,A1,1.7
touch,display,A1,5.1
touch,guardian,A1,3.3
touch,life,A1,4.2
touch,parent,A1,5.3
touch,screen,A1,4.4
touch,soul,A1,3.9
tour,book,A1,2.4
tour,country,A1,5.6
tour,province,A1,4.4
tour,treatise,A1,2.0
translate,broiler,A1,1.1
translate,dialect,A1,4.5
translate,language,A1,5.9
translate,oven,A1,1.1
translate,utterance,A1,3.5
translate,word,A1,4.5
twist,cord,A1,4.3
twist,doorknob,A1,6.4
twist,knob,A1,6.3
twist,process,A1,2.6
twist,routine,A1,1.9
twist,wire,A1,4.3
whip,cream,A1,4.8
whip,frosting,A1,5.6
whip,gathering,A1,1.6
whip,horse,A1,4.2
whip,party,A1,1.4
whip,stallion,A1,5.2
whisper,antibiotic,A1,1.1
whisper,drug,A1,1.0
whisper,question,A1,4.3
whisper,request,A1,3.6
withdraw,bid,A1,4.6
withdraw,cash,A1,5.5
withdraw,dog,A1,1.9
withdraw,money,A1,4.3
withdraw,offer,A1,3.9
withdraw,wolf,A1,2.1
yank,cord,A1,4.0
yank,god,A1,1.4
yank,lord,A1,1.2
yank,wire,A1,3.7
abandon,baby,A1,2.7
abandon,child,A1,3.4
accept,friend,A1,5.6
accept,neighbor,A1,4.2
accept,student,A1,4.2
accuse,dog,A1,2.3
adopt,baby,A1,4.3
adopt,child,A1,4.4
adopt,committee,A1,3.2
adopt,couple,A1,1.5
adopt,policy,A1,5.4
applaud,director,A1,5.0
applaud,performance,A1,5.5
approve,candidate,A1,5.1
approve,committee,A1,4.2
approve,plan,A1,4.6
approve,policy,A1,5.6
arrest,guard,A1,2.4
arrest,police,A1,1.9
assist,employee,A1,4.0
attack,opinion,A1,4.5
audit,government,A1,3.2
beat,parent,A1,2.2
betray,wife,A1,2.9
blame,student,A1,3.3
blame,writer,A1,2.9
break,child,A1,2.7
break,horse,A1,3.0
break,window,A1,4.1
bribe,manager,A1,2.9
bury,evidence,A1,3.9
bury,victim,A1,3.6
calm,child,A1,4.9
calm,family,A1,3.2
calm,teacher,A1,3.0
carry,furniture,A1,3.5
chase,car,A1,3.1
cheer,performance,A1,5.5
choose,candidate,A1,6.0
choose,committee,A1,5.5
choose,computer,A1,5.2
choose,customer,A1,2.3
consider,carpenter,A1,4.2
consider,coroner,A1,3.6
consider,golfer,A1,2.7
consider,secretary,A1,3.4
crucify,president,A1,1.8
crucify,teacher,A1,1.7
cure,doctor,A1,2.7
cure,drug,A1,1.9
cure,patient,A1,4.3
cure,person,A1,3.6
cure,soldier,A1,2.1
cure,treatment,A1,2.5
describe,boy,A1,3.2
describe,person,A1,4.1
desert,wife,A1,2.3
devour,fish,A1,4.4
dismiss,student,A1,4.2
dismiss,teacher,A1,2.5
disown,daughter,A1,2.6
do,laborer,A1,3.1
do,sloth,A1,1.9
do,vegetable,A1,2.8
do,work,A1,5.7
draw,artist,A1,2.7
draw,model,A1,4.8
draw,picture,A1,5.3
eat,chicken,A1,5.2
eat,man,A1,1.4
evaluate,committee,A1,3.7
evaluate,student,A1,6.7
examine,doctor,A1,3.2
examine,evidence,A1,6.4
examine,patient,A1,6.7
examine,report,A1,5.7
examine,scientist,A1,2.6
expect,housewife,A1,4.1
expect,mailman,A1,5.8
expect,package,A1,5.1
expect,plumber,A1,4.6
expect,salesman,A1,3.2
find,archeologist,A1,2.1
find,child,A1,4.3
find,goat,A1,3.7
find,kitten,A1,4.7
find,singer,A1,4.1
fire,employee,A1,3.7
fire,owner,A1,1.6
flatter,girl,A1,4.5
frighten,baby,A1,4.5
govern,president,A1,3.5
grade,paper,A1,4.9
grade,professor,A1,3.2
grade,student,A1,6.6
grade,teacher,A1,2.9
grasp,child,A1,2.7
haunt,memory,A1,4.0
haunt,woman,A1,2.7
help,assistant,A1,3.1
help,cause,A1,4.1
help,fireman,A1,4.0
help,gardener,A1,3.9
help,victim,A1,4.1
hire,chairman,A1,5.2
hire,employee,A1,6.9
hire,friend,A1,3.4
hire,manager,A1,5.7
hit,director,A1,2.0
hit,guard,A1,3.3
hit,undergraduate,A1,2.3
hypnotize,patient,A1,2.4
identify,nurse,A1,4.2
identify,pilot,A1,4.0
indicate,man,A1,2.5
indicate,video,A1,2.6
inject,patient,A1,4.4
inspire,worker,A1,3.9
instruct,coach,A1,2.3
instruct,player,A1,4.7
instruct,professor,A1,3.8
instruct,student,A1,6.9
interrogate,police,A1,2.9
interview,newspaper,A1,1.3
investigate,crime,A1,6.4
invite,friend,A1,5.1
involve,dog,A1,3.4
involve,woman,A1,4.0
kick,girl,A1,2.6
kill,assassin,A1,2.7
kill,farmer,A1,2.5
kill,secretary,A1,2.4
kill,victim,A1,4.7
kiss,dog,A1,4.8
lecture,child,A1,5.2
lecture,parent,A1,3.0
lecture,student,A1,6.2
lecture,teacher,A1,2.7
love,girl,A1,5.3
love,grandmother,A1,6.0
love,husband,A1,6.2
love,teacher,A1,4.7
love,textbook,A1,3.8
marry,minister,A1,3.9
overthrow,government,A1,4.8
paint,artist,A1,3.5
paint,model,A1,4.2
parade,group,A1,3.9
pay,carpenter,A1,6.1
pay,cashier,A1,6.3
pay,customer,A1,1.8
pay,man,A1,4.5
pay,nurse,A1,6.1
pay,ransom,A1,5.2
pay,tax,A1,6.7
picture,husband,A1,3.5
picture,model,A1,6.5
picture,mother,A1,3.9
present,lawyer,A1,4.0
propose,president,A1,2.4
propose,program,A1,4.9
read,author,A1,4.8
read,book,A1,6.1
read,historian,A1,4.6
read,philosopher,A1,4.4
record,man,A1,2.8
record,message,A1,4.3
record,scientist,A1,4.7
release,cat,A1,3.8
request,doctor,A1,5.4
request,equipment,A1,4.7
request,soldier,A1,3.8
rescue,child,A1,3.8
revive,patient,A1,4.0
scrub,dog,A1,3.6
scrub,floor,A1,6.1
search,house,A1,4.7
search,mother,A1,2.6
search,room,A1,4.1
seat,artist,A1,3.2
see,exhibit,A1,6.7
see,truck,A1,4.7
see,voyeur,A1,1.9
see,worm,A1,4.7
send,assistant,A1,4.7
send,child,A1,2.3
send,lawyer,A1,3.9
send,manager,A1,3.9
send,package,A1,6.0
serve,customer,A1,6.3
serve,food,A1,6.3
shoot,president,A1,2.2
show,movie,A1,6.5
show,patient,A1,2.9
show,salesman,A1,3.2
show,wallpaper,A1,4.8
sketch,model,A1,5.1
sketch,woman,A1,3.3
slap,child,A1,2.9
startle,kid,A1,3.7
study,artist,A1,4.4
study,disease,A1,6.2
study,painting,A1,5.6
study,scientist,A1,3.6
take,customer,A1,2.2
take,money,A1,4.1
take,prisoner,A1,5.8
take,thief,A1,2.6
teach,person,A1,5.7
teach,professor,A1,3.4
teach,student,A1,6.8
thrill,student,A1,3.9
throw,ball,A1,5.6
tickle,baby,A1,5.7
torture,man,A1,4.0
torture,scientist,A1,2.6
tow,car,A1,5.2
tow,family,A1,1.5
tow,man,A1,1.5
transfer,employee,A1,4.8
transport,gold,A1,3.9
visit,family,A1,5.3
visit,museum,A1,6.6
walk,beagle,A1,5.5
walk,nurse,A1,2.3
want,account,A1,4.5
want,candy,A1,5.5
want,chef,A1,4.1
want,client,A1,5.4
want,drummer,A1,4.0
warn,mother,A1,2.6
watch,audience,A1,2.6
watch,building,A1,3.6
watch,director,A1,3.6
watch,guard,A1,2.6
watch,sentry,A1,2.5
write,author,A1,2.4
write,friend,A1,2.9
write,letter,A1,6.3
write,story,A1,5.8
